STATIONSKENNUNG,STATIONSNAME,STATIONS_ID,MaxvonGERAETETYP_NAME,MinvonVON_DATUM,GEOGR_BREITE,GEOGR_LAENGE,STATIONSHOEHE,Niederschlag 1 Min,Schnee manuell,Wind 10 Min,Temperatur und Feuchte 2 m 10 Min,Sonne 10 Min,Erdbodentemperaturen Standard 10 Min,HEADING_BUFR1,HEADING_BUFR2,HEADING_BUFR3,HEADING_BUFR4,HEADING_BUFR5,HEADING_BUFR6,HEADING_BUFR7
K440,Manderscheid-Sonnenhof,3155,MODES III S,12-Jun-03,50.101542,6.800909,413.0,5,5,,5,5,5,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
K446,Wittlich,5635,AMDA III / N,01-Oct-04,49.961731,6.928746,147.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K463,Blankenrath,535,AMDA III / S,01-Jun-04,50.037229,7.307861,417.0,1,1,,1,1,1,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
K471,Simmern-Wahlbach,4709,MODES III S,01-Nov-11,49.999590,7.598120,445.0,3,3,,3,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
K509,Newel,3584,MODES III N,01-Jul-04,49.813467,6.585784,365.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K515,Zemmer (Forsthaus Mülchen),5758,AMDA III / N,01-Oct-04,49.870885,6.707361,293.0,3,3,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K568,"Kreuznach, Bad",4301,AMDA III / S,01-Mar-05,49.850173,7.871018,102.0,1,1,,1,1,1,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
K584,Mainz-Lerchenberg (ZDF),3137,AMDA III / S,12-Mar-08,49.965563,8.213852,195.0,2,,,2,,,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
K589,Hahnheim,6100,MODES III N,01-Sep-04,49.862580,8.231085,120.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K611,Trier-Zewen,5099,AMDA III / S,10-Apr-08,49.732632,6.613147,131.5,1,,,1,,1,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
K650,Kirn,2595,AMDA III / N,01-Jul-04,49.789016,7.485275,181.0,1,1,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K666,Bayerfeld-Steckweiler -Schmalfelderhof,316,AMDA III / N,01-Nov-04,49.695666,7.838697,310.0,2,2,,,,,ISMD86 AMDN,ISID86 AMDN,ISND86 AMDN,ISXD86 AMDN,ISAD86 AMDN,ISHD86 AMDN,ISGD86 AMDN
K685,Alzey,150,AMDA III / S,01-Jul-05,49.727300,8.116356,215.0,2,2,,2,2,2,ISMD36 AMDS,ISID36 AMDS,ISND36 AMDS,ISXD36 AMDS,ISAD36 AMDS,ISHD36 AMDS,ISGD36 AMDS
